Word,Risk_Rating,Synonyms,Exceptions,Suggestions,Compliance Notes
Arthritis,high,arthritic,,"discomfort, joint support, supports healthy discomfort levels, relief, mobility support,","Words ending in ""itis"" should be removed or replaced. ""Itis"" means ""inflammation of,"" which may be considered a disease claim. ""Arthritis"" is the most common ""itis"" referenced in FDA warning letters."
Asthma,hign,"bronchial disorder, chronic airway condition, chronic breathing issues",,"lung support, fosters normal breathing, breath wellness",
Attention Deficit Disorder,high,"Attention Deficit Disorcer, Hyperactivity Disorder",,,"This and similar words such as ""ADD"" and ""ADHD"" are on the Amazon prohibited word list."
Autism,high,"autistic, Asperger's , Aspergers",,,This is high risk and should be removed. This and similar words are on the Amazon prohibited word list.
Bacterial Vaginosis,high,vaginitis,,"vaginal health, supports a balanced vaginal microbiome, vaginal microbiome support",
Bell's Palsy,high,"facial nerve palsy, facial paralysis",,"nerve support, nerve comfort, nerve nourishment",
Benign prostate hypertrophy,high,,,,This is high risk and should be removed.
Biodegradable,medium,"general degradable, Biodegradible",,"Our packaging is designed to be optimally biodegradable in commercial facilities, which may not be available in all areas.","Biodegradability claims are frequent targets in plaintiff lawsuits. To mitigate risk, avoid broad statements like 'biodegradable' and when substantiated opt for specific language such as 'Our packaging is designed to be optimally biodegradable in commercial facilities, which may not be available in all areas. Scan this QR code to learn more.' Ensure all packaging is biodegradable which includes the cap, label, etc., , From Amazon on biodegradable claims, "" A general degradable or biodegradable claim should only be made if the entire product will completely break down and return to nature within a reasonably short period after customary disposal (or one year for solid waste products). If the product customarily ends up in landfills, incinerators, or recycling facilities, then a general biodegradable claim should not be made."" https://sellercentral.amazon.com/help/hub/reference/external/201893650, , Additional Resource:, , FTC's Guides For Making Environmental Claims: https://www.ftc.gov/sites/default/files/attachments/press-releases/ftc-issues-revised-green-guides/greenguides.pdf"
Bipolar,high,mood disorder,,mood support,This is high risk and should be removed.
Blood Clot,medium,hemostasis,,"cardiovascular system support, supports normal blood coagulation",Use caution when talking about preventing blood clots which is higher risk.
Blood Thinning,medium,"clot prevention, anticoagulant, platelet aggregation inhibition, anti-thrombotic",,cardiovascular system support,Use caution when talking about how thinning blood can reduce the likelihood of heart disease. This is higher risk.
Boil,medium,"skin disease, skin abscess",,"supports skin health, aids skin wellness",
Bone Spur,medium,"heel spur, spinal spur",,"strengthens bone structure, aids in maintaining bone health, supports bone health",
Boost metabolism,medium,"Enhance metabolism, Speed up metabolism, metabolism boosting",,Support healthy metabolism,There are many lawsuits about this as it may be related to weight loss.
Boost the immune system,medium,"boost your immune system, Boost immune function, Improve immune health, Enhance immune response, Strengthen the immune system, Regulating your immune system, Immune protective, Protects the immune system",,Immune support,"Use caution impacting the immune system with words like ""enhance."""
BPH,high,,,prostate support,This is high risk and should be removed.
Bronchitis,medium,bronchial inflammation,,lung support,"Words ending in ""itis"" should be removed or replaced. ""Itis"" means ""inflammation of,"" which may be considered a disease claim."
Bruising,medium,"contusion, hematoma",,supports skin resilience,Occasional bruising is normal but chronic bruising may be related to a disease or nutritent deficients. 
Bulimina,high,,,,This is high risk and should be removed.
Bunion,medium,toe protrusion,,"supports skin health, eases foot discomfort",
Burning Mouth Syndrome,medium,oral dysaesthesia,,"mouth discomfort, helps with uncomfortable mouth feeling, supports mouth health",
Calcified Arteries + Calcified Plaque,high,"calcified arteries, atherosclerotic plaques, arterial calcification, hardened arteries, calcium deposits in arteries",,"circulatory support, vascular wellbeing, vascular vitality, heart flow support, arterial strength",
Cancer,highest,"malignancy, carcinoma, Cancroid","California to cause cancer,  one or more chemicals known to cause cancer",,This and similar phrases are on the Amazon prohibited word list.
Cardiac Arrhythmia,high,"atrial fibrilation, irregular heartbeat, atrial tachycardia, heart rhythm disorder, atrial fibrillation, ventricular tachycardia, a fib, a-fib






",,cardiovascular system support,"Use caution with any heart disease-related statements. ""Heart rhythm support"" has some risk, but it may be within your risk tolerance."
Cardiovascular disease,high,,,"heart support, cardiovascular support",This is high risk and should be removed.
Carpal Tunnel,medium,"hand numbness, wrist pain, carpel tunnel, carpal-tunnel",,"overuse discomfort, repetitive activity discomfort, wrist support, supports good posture",
Cataract,high,Cataractt,,,This and similar words are on the Amazon prohibited word list.
Celiac,medium,Coeliac,,,This and similar words are on the Amazon prohibited word list.
Cellulite,medium,"weight loss, adipose tissue, fatty deposits",,"healthy weight management support, supporting you in your weight management goals",
Cellulitis,medium,"skin infection, dermal inflammation, inflammation of the skin",,"skin discomfort, skin support, skin health support, skin wellness, skin well-being, skin nourishment","Use caution with words ending in ""itis."""
CFS,high,,,body support,This is high risk and should be removed.
Chemical-free,medium,"Without chemicals, Toxin-free, chemical free, 100% no chemicals, contaminant free, contaminant-free, free of harsh chemicals",,,"Claims like 'chemical-free' are frequent triggers for plaintiff lawsuits, including those related to PFAS. For more insights, refer to the article by Katie Bond and Samuel A. Butler here. https://www.wlf.org/2023/12/04/wlf-legal-pulse/despite-defense-victories-in-pfas-related-false-advertising-class-actions-businesses-should-minimize-risks/, , This may also apply to marketing statements like 'clean,' 'pure,' and 'natural.',"
Cholesterol,medium,"Lowers bad fats, Cholesterolemia, Reduces bad fats, Lowers LDL, Reduces LDL, Reducing cholesterol",,"Supports cholesterol levels already in a normal range, Supports cardiovascular health","Do not make claims about impacting cholesterol, lipid levels, or other biomarkers."
Chronic fatigue syndrome,high,,,,This is high risk and should be removed.
Clean,low,Pure,,,"Use caution with these types of words, as they may lead to ""natural"" types of lawsuits."
Climate-positive,medium,"climate positive, climate-friendly, climate friendly",,,"Claims like 'climate-positive' can be slightly less risky than 'eco-friendly' statements but still carry litigation risks. To mitigate these risks, avoid broad statements like 'climate-positive' and, when substantiated, opt for specific language such as 'We engage in activities that aim to have a net positive impact on the climate.'"
Cold Sores,high,"cold sore, herpes, fever blister, oral herpes, HSV, HSV-1 infection






",,"lip heath, support immune health, help you feel confident when smiling",
Colonoscopy,low,,,,It is risky only if the statement relates to a disease or suggests that colonoscopies are not required.
Complete,low,Nutrient dense,,,"There have been some lawsuits related to ""complete"" claims, especially when mentioning nutrition, amino acids, and protein."
Compostable,medium,Compostible,,"Our packaging is designed to be composted in commercial facilities, which may not be available in all areas","Compostability claims are frequent targets in plaintiff lawsuits. To mitigate risk, avoid broad statements like 'compostable' and, when substantiated, opt for specific language such as 'Our packaging is designed to be composted in commercial facilities, which may not be available in all areas. Scan this QR code to learn more.' Ensure all packaging is compostable, including the cap, label, etc.,"
Concussion,high,"Traumatic brain injury, Cerebral trauma",,,"This and similar words, such as ""TBI,"" are on the Amazon prohibited word list."
Constipation,medium,"Constipatiion, Irregular bowel movements",,"Supports digestive wellness, Maintains digestive balance","This can be a symptom of a disease, so caution should be used. ""Occasional constipation"" is slightly lower risk."
COPD,high,"chronic obstructive pulmonary disease, emphysema, chronic bronchitis, lung disease",,"respiratory support, lung support, respiratory care, supports lung vitality","The acronym COPD is less likely to be scrutinized than spelling out the name of the disease or using the word ""disease"""
Cortisone Shots,low,,,,It is risky only if the statement relates to a disease or suggests that cortisone shots are not required as a life saving measure.
Cortsiol,low,,,,This word was misspelled on the DLG site.
COVID,high,"coronavirus, sars-cov, c-19",,,This is high risk and should be removed. This and similar phrases are on the Amazon prohibited word list.
Crohn's,high,"inflammatory bowel disease, Chrohn's, Crohns",,,This and similar words are on the Amazon prohibited word list.
Cruelty-free,medium,"Cruelty free, not tested on animals",,,"Several lawsuits have focused on ""Cruelty-free"" and ""not tested on animals"" claims, primarily in the cosmetic industry. , , To mitigate litigation risk, companies should avoid ambiguous claims and opt for specific, transparent statements regarding their animal testing policies. Engaging in third-party certification programs like Leaping Bunny can also help clarify these claims and boost consumer trust."
Cystic fibrosis,high,"Cystic fibrossis, Cysticfibrosis, Cystic-fibrosis",,,This and similar words are on the Amazon prohibited word list.
Cysts,high,"polyp, tumor, abscess, nodule",,,The risk increases if statements about preventing or treating mouth disease or cavities are made.
Cytomegalovirus,high,"Epstein-Barr virus, Herpes simplex virus, CMV",,,This and similar phrases are on the Amazon prohibited word list.
Dementia,high,,,,This is high risk and should be removed. This and similar words are on the Amazon prohibited word list.
Dental (Oral) Health,low,,,"supports dental health, fresh breath support",The risk increases if statements about preventing or treating cysts are made.
Depression,high,"depressive disorder, depreesion",,,This is high risk and should be removed. Here is a blog about the continued FDA crackdown on anxiety and depression claims. https://www.asawaldstein.com/post/fda-crackdown-on-anxiety-depression-claims. This and similar words are on the Amazon prohibited word list.
Diabetes,high,"diabetic, neuropathy",,,This is high risk and should be removed. Here is a post about the increase in blood sugar related warning letters. https://www.asawaldstein.com/warning-letter-wednesday/a-review-of-56-diabetes-related-warning-letters. This and similar words are on the Amazon prohibited word list.
Diarrhea,medium,"loose stools, bowel incontinence, gastrointestinal upset, watery stools",,"stomach unrest, digestive discomfort, occasional stomach issues","The risk increases if the statement implies it is related to a disease. On the other hand, ""occasional diarrhea"" could be associated with a non-risky event such as occasional overeating or occasional stress."
Diverticulitis,medium,"diverticulitis, diverticulosis, colonic diverticula, inflamed diverticula",,"digestive discomfort, digestive imbalance, digestive unease, tummy disharmony","Use caution with words ending in ""itis."""
Does fat cause high cholesterol?,,,,,"The risk rating depends on context. If this is setting up a marketing statement that suggests an ingredient or supplement, the risk increases. This is not high risk as an education statement or for lifestyle (not supplement) support."
Ear Infection,high,"ear infection, otitis media, eustachian tube dysfunction, otitis externa, middle ear effusion",,ear discomfort,
Eco friendly,medium,"Environmentally friendly, Eco-friendly",,,"From Amazon. ""Avoid broad, general claims regarding a product's environmental benefits or qualities (ex., avoid ""eco-friendly"" or ""environmentally friendly"" or ""green"")., All claims about a product's environmental benefits or qualities should be specific, and all qualifications (or limitations) to environmental claims must be specific, clear and prominently displayed (ex., ""product is made from 20% recycled materials"")."", https://sellercentral.amazon.com/help/hub/reference/external/201893650"
Eco-friendly,medium,"Environment-friendly, Eco friendly, earth friendly, earth-friendly, eco-consious, eco consious, Environmentally conscious, Environmentally friendly, Environmental friendly, eco-conscious, sustainable",,"We love the earth and so should you., Planet-aware, Preservation-minded, Environmentally considerate","Claims like 'eco-friendly' are often targets in plaintiff lawsuits. To mitigate risk, avoid broad statements such as 'eco-friendly' and opt for specific descriptions of your initiatives, like detailing your give-back programs. For more insights, refer to the article by Clark Hill here. https://www.clarkhill.com/news-events/news/greenwashing-litigation-reduce-the-risk-of-getting-stuck-in-the-weeds/. Additional Insight: Providing clear evidence and details about your eco-friendly initiatives can help substantiate your claims, thereby reducing legal risks and increasing credibility with consumers."
Edema,medium,fluid accumulation,,puffiness,Edema can be a sign of severe disease which can raise the risk level. 
Ehler's Danlos,medium,"ehlers danlos, ehler's-danlos syndrome, collagen disorder, connective tissue disorder",,"supports structural integrity, supports tissue strength",
Eliminating parasites,medium,Getting rid of parasites,,,Remove these types of statements.
Emission-reducing,medium,"Emissions reduction, Emission-lowering, Decreasing emissions, Reduction in emissions, Emission reducing",,,"Making claims about reducing emissions can lead to litigation. To mitigate risk, avoid broad statements such as 'reducing emissions' and instead use specific descriptions of your initiatives, such as detailing the exact measures your company has implemented to reduce emissions. Additionally, exercise caution with aspirational claims, as these can attract scrutiny from the National Advertising Division (NAD) and other regulatory bodies. For further guidance, the Federal Trade Commission provides resources on environmental marketing claims, and the Environmental Protection Agency offers insights into substantiating emissions reductions. Adopting these best practices can help minimize the risk of lawsuits., , Additional Resource:, , FTC's Guides For Making Environmental Claims: https://www.ftc.gov/sites/default/files/attachments/press-releases/ftc-issues-revised-green-guides/greenguides.pdf"
Energy-efficient,medium,"Enrgy-efficient, Energy-saving",,,"Energy efficiency claims may lead to litigation. Companies should ensure their marketing is truthful, substantiated, and specific."
Epilepsy,high,"epileptic, convulsive episodes, seizure disorder, seizure",,,This is high risk and should be removed. This and similar words are on the Amazon prohibited word list.
Epstein Barr Virus (EBV),high,"epstein barr virus, mononucleosis, human herpesvirus 4, glandular fever",,immune system support,"If using within Apex Compliance click the ""exact match"" button that only searches for ""EBV"" but not ""EBV"" contained within other words. https://apexcomplianceprogram.com/help/#qaef-263"
Erectile Dysfunction,high,"impotence, sexual dysfunction, erection problems",,"performance challenges, vitality issues, hinderances to vitality, supports male reproductive health",This is a higher risk because ED products are highly scrutinized and can trigger authorities and retailers to look closer at products and their marketing. 
Essential Tremors,high,"idiopathic tremors, kinetic tremor, resting tremors",,nervous system support,"The risk rating depends on context. If this is setting up a marketing statement that suggests an ingredient or supplement, the risk increases. This is not high risk as an education statement or for lifestyle (not supplement) support."
Estrogen Dominance,,"high estrogen levels, hormonal imbalance, progesterone deficiency, estrogen dominance",,hormone balance support,The risk rating will increase if diseases or changing hormone levels are mentioned with ingredients or products.
Estrogen Dominance (Low Progesterone),,"hormonal imbalance, progesterone deficiency, estrogen dominance",,hormone balance support,The risk rating will increase if diseases or changing hormone levels are mentioned with ingredients or products.
Ethically sourced,medium,"Ethically souced, Responsibly sourced, Sustainable sourcing, Ethically sourced, fare trade",,,"Here is a Starbucks ""ethically sourced"" lawsuit. https://www.foodbev.com/news/starbucks-sued-over-false-ethical-sourcing-claims/"
Eye Health,low,"vision wellness, ocular wellness, eye wellbeing, vision health",,,
Eye Infection,high,"ocular infection, eye inflammation, eye disease",,"eye discomfort, eye unease, eye health support",
Eye Twitch,medium,"eyelid spasm, blepharospasm, muscle contraction of the eyelid, eye flutter, eye twitch",,,Sticking with discussions about how eye quivering may be a symptom of magnesium deficiency or dehydration is better than implying this is part of a disease. 
Fatty Liver/Cirrhosis of the liver?,high,"alcoholic liver disease, cirrhosis, liver fibrosis, hepatic steatosis",,liver support,
FDA Approved,medium,"FDA Cleared, FDA-Approved, FDA Appoved",,,Making FDA-approved types of statements and using the FDA logo can attract Amazon's attention. https://sellercentral.amazon.com/help/hub/reference/external/G202024200
Fertility (Female),,,,,"The risk rating depends on context. If this is setting up a marketing statement that suggests an ingredient or supplement, the risk increases. This is not high risk as an education statement or for lifestyle (not supplement) support."
Fertility (Male),,,,,"The risk rating depends on context. If this is setting up a marketing statement that suggests an ingredient or supplement, the risk increases. This is not high risk as an education statement or for lifestyle (not supplement) support."
Fever,high,"pyrexia, antipyretic",,immune support,This is high risk and should be removed.
Fibromyalgia,high,,,,This is high risk and should be removed.
Fight candida,medium,,,Digestive support,Stay away from disease claims.
Fighting off a cold,high,"Fighting a cold, Fighting the common cold, Preventing a cold, Dealing with a cold",,Supporting the immune system,Remove these types of statements.
Fights inflammation,medium,"Reduces inflammation, Alleviates inflammation, Inhibits inflammation, Reducing inflammation, Reduce inflammation, Combats inflammation",,"Supports a healthy inflammatory response, Helps maintain a normal inflammatory process",
Flu,high,,,"immune support, wellness support",This is high risk and should be removed. This and similar words are on the Amazon prohibited word list.
Fluoride,,,,,
Gallstones,medium,"gallbladder stones, cholecystolithiasis, gall stones, cholelithiasis",,gallbladder health support,Making statements about how ingredients or products can treat or prevent gallstones raises the risk.
Gas/Stomach Pains,medium,"gastric discomfort, abdominal cramps, stomach aches, indigestion",,"tummy discomfort, abdominal unease, digestive discomfort, occasional stomach distress","Sticking to product statements that include ""occasional"" helps separate statements from diseases. For example, ""occasional gas and indigestion"" is not high risk but ""chronic indigestion"" may indicate disease prevention."
GERD,high,"gastroesophageal reflux disease, esophagitis",,"occasional digestive unrest, stomach discomfort","If using within Apex Compliance click the ""exact match"" button that only searches for ""GERD"" but not ""GERD "" contained within other words. https://apexcomplianceprogram.com/help/#qaef-263"
Glaucoma,high,Macular degeneration,,,This and similar words are on the Amazon prohibited word list.
Gonorrhea,high,"Chlamydia, Syphilis, Pelvic inflammatory disease, Sexually transmitted infection, Gonorea, The clap",,,This and similar phrases are on the Amazon prohibited word list.
Gout,high,Hyperuricemia,,,This and similar words are on the Amazon prohibited word list.
Graves Disease,high,"grave's disease, hyperthyroidism, autoimmune thyroid disease, basedow's disease",,metabolism Issue support,
H. Pylori,medium,"h. pylore, helicobacter pylori, gastric ulcer, peptic ulcer disease",,digestive irregularity,
Hair Loss,medium,"reduce hair loss, alopecia, baldness, thinning hair",,"supports healthy hair, helps hair look its best, shiny looking hair","Referring to diseases like alopecia elevates risk. Statements about the look of hair are a lower risk than ""preventing hair loss"" types of discussions."
"Hair, Skin, Nails",low,,,,
Hangover,high,,,,Here is a post about hangover claims enforcement. https://www.asawaldstein.com/post/hangover-claims-continue-to-attract-fda-attention
Hashimotos,medium,"thyroid disease, thyroiditis, underactive thyroid",,"thyroid support, thyrois balance",The risk is elevated if marketing statements are used to prevent or treat this disease. 
Heart attack,high,"myocardial infarction, Coronary artery disease, Cardiac arrest, Myocardial infarction",,,This is high risk and should be avoided. This and similar words are on the Amazon prohibited word list.
Heart Burn,medium,"heartburn, GERD, gastroesophageal reflux disease, gastric reflux",,Helps with occasional stomach discomfort,
Heart Related Concerns,medium,"cardiovascular issues, heart problems, cardiac disorders, cardiac conditions, heart related concerns",,"heart nourishment, supports cardiovascular wellness, supports cardiac wellbeing","Use caution not to imply prevention or treatment of heart-related diseases which elevates risk. Sticking to discussions about supporting the cardiovascular system is lower risk. Stay away from biomarker statements like ""reduces LDLs."""
Helps reduce blood pressure,high,Helps lower blood pressure,,Maintains optimal blood pressure,Do not make claims about impacting blood pressure.
Hemochromatosis,high,"hemachromatosis, iron overload disorder, iron metabolic disorder",,Support balanced blood iron levels,
Hemorrhoids,medium,"piles, rectal swelling, hemorrhoid",,"supports rectal comfort, promotes anal wellness, supports healthy circulation in rectal tissues, helps maintain rectal tissue health, supports relief from occasional rectal discomfort, aids in promoting rectal well-being, helps soothe occasional swelling in rectal area, supports vascular health in the rectal region, promotes healthy bowel movement comfort, soothes occasional rectal irritation",
Hepatitis,high,,,liver support,This is high risk and should be avoided. This and similar phrases are on the Amazon prohibited word list.
Hernia,medium,herniation,,supports overall wellness,
Herpes Simplex Virus,high,"Herpes Simplex, HSV1, HSV2, Herpes",,,This and similar phrases are on the Amazon prohibited word list.
Hiatal Hernia,medium,herniation,,supports overall wellness,
High Androgens,medium,"elevated androgens, hyperandrogenism, high testosterone, androgen excess, high androgens",,"supports balanced hormones, supports hormonal equilibrium, aids in maintaining hormonal levels",
HIV,high,,,,This is high risk and should be avoided. This and similar phrases are on the Amazon prohibited word list.
Hives,medium,"urticaria, skin rash, itchy bumps, allergic reaction",,"skin comfort, skin health support ",
Hodgkin's Lymphoma,high,"Hodgkin's Limphoma, Non-Hodgkin's Lymphoma, Reed-Sternberg cells, Hodgkin",,,This and similar phrases are on the Amazon prohibited word list.
Hormones,,,,,Discussions about supporting hormone levels are lower risk than making statements about changing hormone levels.
How can I increase my Energy?,Low,,,,"Discussions about supporting energy levels are not high risk. However, use caution when implying products or ingredients can help energy levels related to disease."
How do I detox from Antibiotics?,High,,,microbiome support,There have been lawsuits against products claiming to help with damage done by antibiotics. This is especially true for on-pack claims. Statements about helping to support a balanced microbiome are lower risk.
"How do I detox from Medical Tests? (MRI, CT Scan, Anesthesia Fast)",High,,,overall wellness support,"There have been lawsuits against products claiming to help with damage done by antibiotics, so there is some risk here. Agencies like FDA are primarily concerned with people replacing supplements for required medical attention."
HPV,High,"human papilloma virus, human papillomavirus",,supports immune health,"If using within Apex Compliance click the ""exact match"" button that only searches for ""HPV"" but not ""HPV"" contained within other words. https://apexcomplianceprogram.com/help/#qaef-263"
Human Papilloma Virus,high,"HPV, Human Papiloma Virus, Human Papillomavirus",,,This and similar phrases are on the Amazon prohibited word list.
Hypertension,high,,,"heart support, cardiovascular support",This is high risk and should be avoided.
Hypoglycemia,medium,"Hyperinsulinemia, Insulinemia, Hypoglycaemia, Hyperglycemia",,,Stay away from disease diseases and their corresponding symptoms.
IBS,Medium,Irritable Bowel Syndrome,,digestive support,"IBS is considered a disease-type claim, but based on enforcement trends, it is unlikely to be the sole reason for a warning letter unless a higher-risk statement like ""Crohn's"" is present. If using within Apex Compliance click the ""exact match"" button that only searches for ""IBS"" but not ""IBS"" contained within other words. https://apexcomplianceprogram.com/help/#qaef-263"
Improve,medium,,,support,
Improve blood sugar,medium,"Improve sugar levels, Boost glucose regulation, Enhance insulin sensitivity, Lower blood sugar",,Support blood sugar levels already within a normal range,
Improve brain function,medium,"Improve cognitive function, Enhance brain performance, Boost mental capacity, Imrove brain funtion, Enhance cognitive abilities, Improve memory, Improve mental acuity",,Support brain health,There are lots of lawsuits related to improving cognition and memory. Use caution.
improves bone health,low,,,Supports bone health,
Infection,high,,,"body support, wellness support,  immune support",Infection support claims should be avoided.
Inflammation of skin conditions,medium,"Inflammation of skin disorders, Skin inflammation diseases, Inflammatory skin conditions, Inflamtion of skin conditions, Skin inflammation ailments",,"skin health support, skin support, skin wellness, skin nourishment",Supplements should not make skin-related inflammation prevention claims.
Influenza,high,"Respiratory illness, Influenzaa, Viral infection",,"immune support, wellness support",Influenza support claims should be avoided. This and similar words are on the Amazon prohibited word list.
Insomnia,high,sleep disorder,,"sleep support, slumber support",Insomnia claims should be avoided. Here is a post about insomnia claims enforcement. https://www.asawaldstein.com/warning-letter-wednesday/insomnia-claims-continue-to-attract-fda-attention
Interstitial Cystitis,High,"cystitis, urinary tract infection, urethritis, bladder infection, cystitis






",,"Supports urinary tract health, encourages healthy bladder function","Use caution with words ending in ""itis."""
K2 and blood thinner,,,,,The risk is elevated if statements are made about K2 or other ingredients used as natural blood thinner alternatives.
Kidney cirrhosis,high,"Kidney sclerosis, Kidney fibrosis, Renal cirrhosis, Kidney disease",,,This and similar words are on the Amazon prohibited word list.
